Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
1,Text,1971-12-01,The Declaration of Independence of the United States of America,en,"Jefferson, Thomas, 1743-1826","United States -- History -- Revolution, 1775-1783 -- Sources; United States. Declaration of Independence",E201; JK,Politics; American Revolutionary War; United States Law
2,Text,1972-12-01,"The United States Bill of Rights
The Ten Original Amendments to the Constitution of the United States",en,United States,Civil rights -- United States -- Sources; United States. Constitution. 1st-10th Amendments,JK; KF,Politics; American Revolutionary War; United States Law
3,Text,1973-11-01,John F. Kennedy's Inaugural Address,en,"Kennedy, John F. (John Fitzgerald), 1917-1963",United States -- Foreign relations -- 1961-1963; Presidents -- United States -- Inaugural addresses,E838,
4,Text,1973-11-01,"Lincoln's Gettysburg Address
Given November 19, 1863 on the battlefield near Gettysburg, Pennsylvania, USA",en,"Lincoln, Abraham, 1809-1865","Consecration of cemeteries -- Pennsylvania -- Gettysburg; Soldiers' National Cemetery (Gettysburg, Pa.); Lincoln, Abraham, 1809-1865. Gettysburg address",E456,US Civil War
5,Text,1975-12-01,The United States Constitution,en,United States,United States -- Politics and government -- 1783-1789 -- Sources; United States. Constitution,JK; KF,United States; Politics; American Revolutionary War; United States Law
6,Text,1976-12-01,Give Me Liberty or Give Me Death,en,"Henry, Patrick, 1736-1799","Speeches, addresses, etc., American; United States -- Politics and government -- 1775-1783 -- Sources; Virginia -- Politics and government -- 1775-1783 -- Sources",E201,American Revolutionary War
7,Text,1977-12-01,The Mayflower Compact,en,,"Massachusetts -- History -- New Plymouth, 1620-1691 -- Sources; Pilgrims (New Plymouth Colony); Mayflower Compact (1620)",F001,
8,Text,1978-12-01,Abraham Lincoln's Second Inaugural Address,en,"Lincoln, Abraham, 1809-1865",United States -- Politics and government -- 1861-1865; Presidents -- United States -- Inaugural addresses,E456,US Civil War
9,Text,1979-12-01,Abraham Lincoln's First Inaugural Address,en,"Lincoln, Abraham, 1809-1865",United States -- Politics and government -- 1861-1865; Presidents -- United States -- Inaugural addresses,E456,US Civil War
10,Text,1989-08-01,The King James Version of the Bible,en,,Bible,BS,Banned Books List from the American Library Association
11,Text,2008-06-27,Alice's Adventures in Wonderland,en,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,PR; PZ,Children's Literature
12,Text,2008-06-25,Through the Looking-Glass,en,"Carroll, Lewis, 1832-1898",Fantasy fiction; Children's stories; Imaginary places -- Juvenile fiction; Alice (Fictitious character from Carroll) -- Juvenile fiction,PR; PZ,Best Books Ever Listings; Children's Literature
13,Text,2008-06-25,The Hunting of the Snark: An Agony in Eight Fits,en,"Carroll, Lewis, 1832-1898","Nonsense verses, English",PR,Children's Literature
14,Text,1991-04-01,The 1990 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks
15,Text,1991-05-01,"Moby-Dick; or, The Whale",en,"Melville, Herman, 1819-1891","Whaling -- Fiction; Sea stories; Psychological fiction; Ship captains -- Fiction; Adventure stories; Mentally ill -- Fiction; Ahab, Captain (Fictitious character) -- Fiction; Whales -- Fiction; Whaling ships -- Fiction",PS,Best Books Ever Listings; Adventure
16,Text,2008-06-25,Peter Pan,en,"Barrie, J. M. (James Matthew), 1860-1937",Fantasy literature; Peter Pan (Fictitious character) -- Fiction; Never-Never Land (Imaginary place) -- Fiction; Pirates -- Fiction; Fairies -- Fiction,PR; PZ,Children's Literature; Movie Books
17,Text,2008-06-25,"The Book of Mormon
An Account Written by the Hand of Mormon, Upon Plates Taken from the Plates of Nephi",en,"Church of Jesus Christ of Latter-day Saints; Smith, Joseph, Jr., 1805-1844",Church of Jesus Christ of Latter-day Saints -- Sacred books; Mormon Church -- Sacred books,BX,Christianity; Latter Day Saints
18,Text,1991-08-01,The Federalist Papers,en,"Hamilton, Alexander, 1757-1804; Jay, John, 1745-1829; Madison, James, 1751-1836",Constitutional history -- United States -- Sources; Constitutional law -- United States,JK; KF,Politics
19,Text,2004-06-01,The Song of Hiawatha,en,"Longfellow, Henry Wadsworth, 1807-1882; Morris, Woodrow W. [Editor]","Indians of North America -- Poetry; Hiawatha, active 15th century -- Poetry; Iroquois Indians -- Kings and rulers -- Poetry",PS,Children's Literature; Poetry; Native America
20,Text,1991-10-01,Paradise Lost,en,"Milton, John, 1608-1674",Fall of man -- Poetry; Adam (Biblical figure) -- Poetry; Eve (Biblical figure) -- Poetry; Bible. Genesis -- History of Biblical events -- Poetry,PR,Poetry; Banned Books from Anne Haight's list
21,Text,2008-06-25,"Aesop's Fables
Translated by George Fyler Townsend",en,"Aesop, 620? BCE-564? BCE; Townsend, George Fyler, 1814-1900 [Translator]","Fables, Greek -- Translations into English; Aesop's fables -- Translations into English",PA; PZ,
22,Text,1991-12-01,Roget's Thesaurus,en,"Roget, Peter Mark, 1779-1869",English language -- Synonyms and antonyms,PE,Reference
23,Text,2006-01-12,"Narrative of the Life of Frederick Douglass, an American Slave",en,"Douglass, Frederick, 1818-1895","Douglass, Frederick, 1818-1895; African American abolitionists -- Biography; Abolitionists -- United States -- Biography; Slaves -- United States -- Biography",E300,African American Writers; Slavery
24,Text,2008-06-27,O Pioneers!,en,"Cather, Willa, 1873-1947",Nebraska -- Fiction; Historical fiction; Frontier and pioneer life -- Nebraska -- Fiction; Domestic fiction; Siblings -- Fiction; Farm life -- Fiction; Women pioneers -- Fiction; Women farmers -- Fiction; Women immigrants -- Fiction; Swedish Americans -- Fiction,PS,
25,Text,1992-02-01,The 1991 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks
26,Text,1992-02-01,Paradise Lost,en,"Milton, John, 1608-1674",Fall of man -- Poetry; Adam (Biblical figure) -- Poetry; Eve (Biblical figure) -- Poetry; Bible. Genesis -- History of Biblical events -- Poetry,PR,
27,Text,1992-03-01,Far from the Madding Crowd,en,"Hardy, Thomas, 1840-1928",Didactic fiction; Love stories; Triangles (Interpersonal relations) -- Fiction; Pastoral fiction; Farm life -- Fiction; Women farmers -- Fiction; Wessex (England) -- Fiction,PR,
28,Text,1992-03-01,"The Fables of Aesop
Selected, Told Anew, and Their History Traced",en,"Aesop, 620? BCE-564? BCE; Jacobs, Joseph, 1854-1916 [Editor]","Aesop's fables -- Adaptations; Fables, Greek -- Adaptations",PA; PZ,Harvard Classics
29,Text,1992-04-01,The 1990 United States Census,en,United States. Bureau of the Census,United States -- Population -- Statistics; United States -- Census; Housing -- United States -- Statistics,HA,
30,Text,1992-04-01,"The Bible, King James Version, Complete",en,,Bible,BS,
31,Text,2006-03-08,Plays of Sophocles: Oedipus the King; Oedipus at Colonus; Antigone,en,"Sophocles, 495? BCE-406 BCE; Storr, Francis, 1839-1919 [Translator]",Tragedies; Antigone (Mythological character) -- Drama; Oedipus (Greek mythological figure) -- Drama; Greek drama (Tragedy) -- Translations into English,PA,Plays; Best Books Ever Listings; Harvard Classics
32,Text,2008-06-27,Herland,en,"Gilman, Charlotte Perkins, 1860-1935",Utopias -- Fiction; Women -- Fiction; Utopian fiction; Black humor,PS,Best Books Ever Listings
33,Text,1992-06-01,The Scarlet Letter,en,"Hawthorne, Nathaniel, 1804-1864","Adultery -- Fiction; Historical fiction; Revenge -- Fiction; Psychological fiction; Married women -- Fiction; Clergy -- Fiction; Triangles (Interpersonal relations) -- Fiction; Illegitimate children -- Fiction; Women immigrants -- Fiction; Puritans -- Fiction; Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction",PS,Harvard Classics; Movie Books
34,Text,1992-06-01,Zen and the Art of the Internet,en,"Kehoe, Brendan P., 1970-2011",Internet; Computer networks; Information networks; Information retrieval,TK,
35,Text,2004-10-02,The Time Machine,en,"Wells, H. G. (Herbert George), 1866-1946",Science fiction; Time travel -- Fiction; Dystopias -- Fiction,PR,Movie Books; Science Fiction
36,Text,2004-10-01,The War of the Worlds,en,"Wells, H. G. (Herbert George), 1866-1946",Science fiction; War stories; Martians -- Fiction; Mars (Planet) -- Fiction; Space warfare -- Fiction; Imaginary wars and battles -- Fiction; Life on other planets -- Fiction,PR,Movie Books; Science Fiction
37,Text,1992-08-01,The 1990 United States Census [2nd],en,United States. Bureau of the Census,United States -- Population -- Statistics; United States -- Census; Housing -- United States -- Statistics,HA,
38,Text,1992-08-01,"The Jargon File, Version 2.9.10, 01 Jul 1992",en,"Raymond, Eric S., 1957- [Editor]; Steele, Guy L., 1954- [Editor]",Electronic data processing -- Terminology -- Humor; Computers -- Humor; Computers -- Slang -- Dictionaries,TK,
39,Text,1992-09-01,Hitchhiker's Guide to the Internet,en,"Krol, Ed, 1951-",Internet; Computer networks,TK,
40,Text,1992-09-01,NorthWestNet User Services Internet Resource Guide (NUSIRG),en,"Kochmer, Jonathan",Internet,TK,
41,Text,2008-06-27,The Legend of Sleepy Hollow,en,"Irving, Washington, 1783-1859",Ghosts -- Fiction; New York (State) -- History -- 1775-1865 -- Fiction,PS,Children's Literature; Harvard Classics
42,Text,1992-10-01,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,PR,Precursors of Science Fiction; Horror; Gothic Fiction; Movie Books
43,Text,2008-06-27,The Strange Case of Dr. Jekyll and Mr. Hyde,en,"Stevenson, Robert Louis, 1850-1894",Science fiction; Horror tales; London (England) -- Fiction; Physicians -- Fiction; Psychological fiction; Self-experimentation in medicine -- Fiction; Multiple personality -- Fiction,PR,Precursors of Science Fiction; Horror; Movie Books
44,Text,2008-06-27,The Song of the Lark,en,"Cather, Willa, 1873-1947",Musical fiction; Young women -- Fiction; Bildungsromans; Chicago (Ill.) -- Fiction; Swedish Americans -- Fiction; Colorado -- Fiction; Opera -- Fiction; Children of clergy -- Fiction; Women singers -- Fiction,PS,Opera
45,Text,2008-06-27,Anne of Green Gables,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Friendship -- Fiction; Bildungsromans; Girls -- Fiction; Country life -- Prince Edward Island -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1867-1914 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",PZ,Children's Literature; Canada
46,Text,2004-08-11,A Christmas Carol in Prose; Being a Ghost Story of Christmas,en,"Dickens, Charles, 1812-1870; Leech, John, 1817-1864 [Illustrator]","Christmas stories; London (England) -- Fiction; Poor families -- Fiction; Ghost stories; Misers -- Fiction; Sick children -- Fiction; Scrooge, Ebenezer (Fictitious character) -- Fiction",PR,Children's Literature; Christmas
47,Text,2006-03-08,Anne of Avonlea,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Islands -- Fiction; Teachers -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",PZ,Children's Literature; Canada
48,Text,1993-01-01,The 1992 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks
49,Text,1993-01-01,"Surfing the Internet: An Introduction
Version 2.0.2",en,"Polly, Jean Armour",Internet addresses -- Directories; Computer network resources -- Directories; Electronic mail systems -- Directories,TK,
50,Dataset,1993-01-01,Pi,en,"Hemphill, Scott",Mathematics; Pi,QA,Mathematics
51,Text,2006-03-08,Anne of the Island,en,"Montgomery, L. M. (Lucy Maud), 1874-1942","Orphans -- Fiction; Prince Edward Island -- History -- 20th century -- Fiction; Interpersonal relations -- Fiction; Canada -- History -- 1914-1945 -- Fiction; Self-perception -- Fiction; Universities and colleges -- Fiction; Nova Scotia -- History -- 20th century -- Fiction; Shirley, Anne (Fictitious character) -- Fiction",PZ,Children's Literature; Canada
52,Dataset,1993-02-01,The Square Root of 2,en,"Kerr, Stan",Mathematics; Square root,QA,Mathematics
53,Text,1993-02-01,"Workshop on Electronic Texts: Proceedings, 9-10 June 1992",en,"Library of Congress; Daly, James, 1948- [Editor]",Text processing (Computer science) -- Congresses; Electronic books; Electronic publishing -- Congresses,Z,
54,Text,1993-02-01,The Marvelous Land of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919",Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Conduct of life -- Juvenile fiction; Friendship -- Juvenile fiction; Voyages and travels -- Juvenile fiction; Magic -- Juvenile fiction; Practical jokes -- Juvenile fiction; Youth -- Conduct of life -- Juvenile fiction; Queens -- Juvenile fiction; Kings and rulers -- Juvenile fiction; Witches -- Juvenile fiction; Women soldiers -- Juvenile fiction,PZ,Children's Literature; Fantasy
55,Text,1993-02-01,The Wonderful Wizard of Oz,en,"Baum, L. Frank (Lyman Frank), 1856-1919","Oz (Imaginary place) -- Juvenile fiction; Fantasy literature; Courage -- Juvenile fiction; Home -- Juvenile fiction; Good and evil -- Juvenile fiction; Dreams -- Juvenile fiction; Gale, Dorothy (Fictitious character) -- Juvenile fiction; Cowardly Lion (Fictitious character) -- Juvenile fiction; Cyclones -- Juvenile fiction; Scarecrow (Fictitious character from Baum) -- Juvenile fiction; Toto (Fictitious character) -- Juvenile fiction; Witches -- Juvenile fiction; Wizard of Oz (Fictitious character) -- Juvenile fiction; Tin Woodman (Fictitious character) -- Juvenile fiction",PZ,Children's Literature; Fantasy
56,Text,1993-03-01,NREN for All: Insurmountable Opportunity,en,"Polly, Jean Armour",Internet; National Research and Education Network (Computer network),TK,
57,Text,1993-03-01,Aladdin and the Magic Lamp,en,Unknown,Fairy tales; Children's stories; Arabs -- Folklore; Folklore -- Arab countries,PZ,
58,Text,1993-03-01,Paradise Regained,en,"Milton, John, 1608-1674",English poetry; Epic poetry; Bible. Gospels -- History of Biblical events -- Poetry; Jesus Christ -- Temptation -- Poetry,PR,
59,Text,1993-03-01,Discourse on the Method of Rightly Conducting One's Reason and of Seeking Truth in the Sciences,en,"Descartes, René, 1596-1650; Veitch, John, 1829-1894 [Translator]",Science -- Methodology; Methodology,B,Harvard Classics; Philosophy
60,Text,2006-03-08,The Scarlet Pimpernel,en,"Orczy, Emmuska Orczy, Baroness, 1865-1947","Historical fiction; France -- History -- Revolution, 1789-1799 -- Fiction; Adventure stories; British -- France -- Fiction; Nobility -- Fiction; Blakeney, Percy, Sir (Fictitious character) -- Fiction",PR,Adventure; Best Books Ever Listings; Movie Books
61,Text,2005-01-25,The Communist Manifesto,en,"Engels, Friedrich, 1820-1895; Marx, Karl, 1818-1883",Socialism; Communism,HX,Politics; Philosophy; Banned Books from Anne Haight's list
62,Text,1993-04-01,A Princess of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Princesses -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Best Books Ever Listings; Science Fiction
63,Text,1993-04-01,"The Number ""e""",en,Unknown,Mathematics; Mathematical constants,QA,Historical Fiction
64,Text,1993-05-01,The Gods of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Life on other planets -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Science Fiction
65,Dataset,1993-05-01,"The First 100,000 Prime Numbers",en,Unknown,"Mathematics; Numbers, Prime",QA,
66,Text,1993-05-01,The Dawn of Amateur Radio in the U.K. and Greece: A Personal View,en,"Joly, Norman F.",Radio broadcasting,TK,
67,Text,1993-05-01,The Black Experience in America,en,"Coombs, Norman, 1932-",African Americans -- History; Slavery -- United States -- History,E151,
68,Text,1993-06-01,The warlord of Mars,en,"Burroughs, Edgar Rice, 1875-1950","Science fiction; Mars (Planet) -- Fiction; Carter, John (Fictitious character) -- Fiction; Dejah Thoris (Fictitious character) -- Fiction",PS,Science Fiction
69,Text,1993-06-01,"The 32nd Mersenne Prime
Predicted by Mersenne",en,"Slowinski, David","Numbers, Prime; Number theory",QA,Mathematics
70,Text,2004-09-13,What Is Man? and Other Essays,en,"Twain, Mark, 1835-1910",American essays,PS,
71,Text,1993-06-01,On the Duty of Civil Disobedience,en,"Thoreau, Henry David, 1817-1862","Civil disobedience; Government, Resistance to",HM; PS,
72,Text,1993-07-01,"Thuvia, Maid of Mars",en,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Martians -- Fiction; Mars (Planet) -- Fiction,PS,Science Fiction
73,Text,1993-07-01,The Red Badge of Courage: An Episode of the American Civil War,en,"Crane, Stephen, 1871-1900","Historical fiction; War stories; United States -- History -- Civil War, 1861-1865 -- Fiction; Virginia -- History -- Civil War, 1861-1865 -- Fiction; Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction",PS,"US Civil War; Historical Fiction; Best Books Ever Listings; Bestsellers, American, 1895-1923"
74,Text,2004-07-01,"The Adventures of Tom Sawyer, Complete",en,"Twain, Mark, 1835-1910","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Sawyer, Tom (Fictitious character) -- Fiction; Child witnesses -- Fiction; Runaway children -- Fiction; Mississippi River Valley -- Fiction",PS,Banned Books from Anne Haight's list; Banned Books List from the American Library Association
75,Text,1993-07-01,E-mail 101,en,"Goodwin, John E.",Electronic mail systems,TK,
76,Text,2004-06-29,Adventures of Huckleberry Finn,en,"Twain, Mark, 1835-1910; Kemble, E. W. (Edward Windsor), 1861-1933 [Illustrator]","Humorous stories; Bildungsromans; Boys -- Fiction; Male friendship -- Fiction; Adventure stories; Missouri -- Fiction; Race relations -- Fiction; Runaway children -- Fiction; Finn, Huckleberry (Fictitious character) -- Fiction; Fugitive slaves -- Fiction; Mississippi River -- Fiction",PS,Best Books Ever Listings; Banned Books from Anne Haight's list; Banned Books List from the American Library Association
77,Text,1993-08-01,The House of the Seven Gables,en,"Hawthorne, Nathaniel, 1804-1864",Historical fiction; Domestic fiction; Paranormal fiction; Haunted houses -- Fiction; Salem (Mass.) -- Fiction,PS,Best Books Ever Listings
78,Text,1993-08-01,Tarzan of the Apes,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Africa -- Fiction; Fantasy fiction; Adventure stories; British -- Africa -- Fiction; Wild men -- Fiction,PS,Movie Books; Adventure
79,Text,1993-08-01,Terminal Compromise,en,"Schwartau, Winn, 1952-","Computer security -- Fiction; Didactic fiction; Privacy, Right of -- Fiction; Records -- Access control -- Fiction",PQ,
80,Text,1993-09-01,The Online World,en,"De Presno, Odd, 1944-",Internet,TK,
81,Text,1993-09-01,The Return of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PZ; PS,
82,Text,2008-06-25,Ivanhoe: A Romance,en,"Scott, Walter, 1771-1832","Historical fiction; Knights and knighthood -- Fiction; Love stories; Triangles (Interpersonal relations) -- Fiction; Great Britain -- History -- Richard I, 1189-1199 -- Fiction; Jews -- England -- Fiction; Ivanhoe, Wilfred of, Sir (Fictitious character) -- Fiction; Anglo-Saxons -- Fiction; Normans -- Great Britain -- Fiction",PR,Best Books Ever Listings; Historical Fiction
83,Text,1993-09-01,"From the Earth to the Moon; and, Round the Moon",en,"Verne, Jules, 1828-1905",Science fiction; Space flight to the moon -- Fiction; Moon -- Fiction; Space ships -- Fiction; Manned space flight -- Fiction,PQ,Movie Books; Science Fiction
84,Text,1993-10-01,"Frankenstein; Or, The Modern Prometheus",en,"Shelley, Mary Wollstonecraft, 1797-1851","Science fiction; Horror tales; Gothic fiction; Scientists -- Fiction; Monsters -- Fiction; Frankenstein, Victor (Fictitious character) -- Fiction; Frankenstein's monster (Fictitious character) -- Fiction",PR,Precursors of Science Fiction; Gothic Fiction; Movie Books; Science Fiction by Women
85,Text,1993-10-01,The Beasts of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Jungle animals -- Fiction; Adventure stories,PZ; PS,Movie Books; Adventure
86,Text,2004-07-07,A Connecticut Yankee in King Arthur's Court,en,"Twain, Mark, 1835-1910",Fantasy fiction; Satire; Knights and knighthood -- Fiction; Arthurian romances -- Adaptations; Time travel -- Fiction; Americans -- Great Britain -- Fiction; Kings and rulers -- Fiction; Britons -- Fiction,PS,Precursors of Science Fiction; Arthurian Legends
87,Text,1993-10-01,The 1993 CIA World Factbook,en,United States. Central Intelligence Agency,"World politics -- Handbooks, manuals, etc.; Geography -- Handbooks, manuals, etc.; Political science -- Handbooks, manuals, etc.; Political statistics -- Handbooks, manuals, etc.",G,CIA World Factbooks
88,Text,1993-11-01,Price/Cost Indexes from 1875 to 1989; Estimated to 2010,en,"Hart, Michael, 1947-2011",Cost and standard of living,HG,
89,Text,1993-11-01,"North American Free Trade Agreement, 1992 Oct. 7 Tariff Phasing Descriptions",en,Canada,"Canada. Treaties, etc. 1992 Oct. 7; Tariff -- Law and legislation -- North America; Free trade -- North America; Foreign trade regulation -- North America; Free trade -- United States; Free trade -- Canada; Free trade -- Mexico",KDZ,
90,Text,1993-11-01,The Son of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PZ; PS,Adventure; Movie Books; Contemporary Reviews
91,Text,2004-09-14,Tom Sawyer Abroad,en,"Twain, Mark, 1835-1910","Adventure stories; Sawyer, Tom (Fictitious character) -- Fiction; Balloon ascensions -- Fiction; Americans -- Foreign countries -- Fiction",PS,
92,Text,1993-12-01,Tarzan and the Jewels of Opar,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Fantasy fiction; Adventure stories,PS,Movie Books; Adventure
93,Text,2004-09-14,"Tom Sawyer, Detective",en,"Twain, Mark, 1835-1910","Sawyer, Tom (Fictitious character) -- Fiction; Mystery fiction",PS,
94,Text,2006-03-08,Alexander's Bridge,en,"Cather, Willa, 1873-1947",Civil engineers -- Fiction; London (England) -- Fiction; Psychological fiction; Married people -- Fiction; Boston (Mass.) -- Fiction; Mistresses -- Fiction; Bridges -- Design and construction -- Fiction,PS,
95,Text,2006-01-09,The Prisoner of Zenda,en,"Hope, Anthony, 1863-1933",Impostors and imposture -- Fiction; Adventure stories; British -- Foreign countries -- Fiction,PR,"Adventure; Best Books Ever Listings; Movie Books; Bestsellers, American, 1895-1923"
96,Text,1994-01-01,The Monster Men,en,"Burroughs, Edgar Rice, 1875-1950",Science fiction; Fantasy fiction,PS,Science Fiction
97,Text,1994-01-01,Flatland: A Romance of Many Dimensions,en,"Abbott, Edwin Abbott, 1838-1926",Fourth dimension,QA,Science Fiction; Mathematics
98,Text,1994-01-01,A Tale of Two Cities,en,"Dickens, Charles, 1812-1870","Historical fiction; France -- History -- Revolution, 1789-1799 -- Fiction; London (England) -- History -- 18th century -- Fiction; War stories; Executions and executioners -- Fiction; French -- England -- London -- Fiction; Lookalikes -- Fiction; British -- France -- Paris -- Fiction; Paris (France) -- History -- 1789-1799 -- Fiction",PR,Historical Fiction
99,Text,1994-01-01,Collected Articles of Frederick Douglass,en,"Douglass, Frederick, 1818-1895","Douglass, Frederick, 1818-1895; Slavery; African American abolitionists; Essays; Reconstruction (U.S. history, 1865-1877)",E300; E660,African American Writers; Slavery
100,Text,1994-01-01,The Complete Works of William Shakespeare,en,"Shakespeare, William, 1564-1616","English drama -- Early modern and Elizabethan, 1500-1600",PR,Plays
101,Text,1994-01-01,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,en,"Sterling, Bruce, 1954-",Computer crimes -- United States; Telephone -- Corrupt practices -- United States; Computer programming -- Corrupt practices -- United States,HV,
102,Text,2004-09-14,The Tragedy of Pudd'nhead Wilson,en,"Twain, Mark, 1835-1910",Impostors and imposture -- Fiction; Missouri -- Fiction; Trials (Murder) -- Fiction; Legal stories; Race relations -- Fiction; Infants switched at birth -- Fiction; Passing (Identity) -- Fiction,PS,
103,Text,1994-01-01,Around the World in Eighty Days,en,"Verne, Jules, 1828-1905",Adventure stories; Voyages around the world -- Fiction,PQ,Adventure; Best Books Ever Listings; Movie Books
104,Text,1994-02-01,"Inaugural Address of Franklin Delano Roosevelt
Given in Washington, D.C. March 4th, 1933",en,"Roosevelt, Franklin D. (Franklin Delano), 1882-1945","United States -- Politics and government -- 1933-1945; Presidents -- United States -- Inaugural addresses; New Deal, 1933-1939",E740,
105,Text,1994-02-01,Persuasion,en,"Austen, Jane, 1775-1817",England -- Social life and customs -- 19th century -- Fiction; Psychological fiction; Young women -- Fiction; Motherless families -- Fiction; Rejection (Psychology) -- Fiction; First loves -- Fiction; Dysfunctional families -- Fiction; Ship captains -- Fiction; Love stories; Regency fiction,PR,
106,Text,1994-02-01,Jungle Tales of Tarzan,en,"Burroughs, Edgar Rice, 1875-1950",Tarzan (Fictitious character) -- Fiction; Africa -- Fiction; Fantasy fiction; Jungles -- Fiction; Adventure stories; Apes -- Fiction,PZ; PS,Movie Books; Adventure
107,Text,1994-02-01,Far from the Madding Crowd,en,"Hardy, Thomas, 1840-1928",Didactic fiction; Love stories; Triangles (Interpersonal relations) -- Fiction; Pastoral fiction; Farm life -- Fiction; Women farmers -- Fiction; Wessex (England) -- Fiction,PR,
108,Text,2006-03-08,The Return of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Detective and mystery stories, English",PR,Detective Fiction
109,Text,1994-02-01,"Renascence, and Other Poems",en,"Millay, Edna St. Vincent, 1892-1950",American poetry,PS,
110,Text,1994-02-01,Tess of the d'Urbervilles: A Pure Woman,en,"Hardy, Thomas, 1840-1928",Didactic fiction; Poor families -- Fiction; Children of the rich -- Fiction; Triangles (Interpersonal relations) -- Fiction; Pastoral fiction; Children of clergy -- Fiction; Wessex (England) -- Fiction; Man-woman relationships -- Fiction; Women murderers -- Fiction; Rape victims -- Fiction; Women household employees -- Fiction,PR,Banned Books from Anne Haight's list
111,Text,2006-03-08,Freckles,en,"Stratton-Porter, Gene, 1863-1924",Orphans -- Fiction; People with disabilities -- Fiction; Indiana -- Fiction; Swamps -- Fiction,PZ; PS,
112,Text,1994-03-01,Violists,en,"McGowan, Richard, 1958-",Short stories; Love stories; Fathers and daughters -- Fiction; Violists -- Fiction,PS,
113,Text,1994-03-01,The Secret Garden,en,"Burnett, Frances Hodgson, 1849-1924",Orphans -- Juvenile fiction; People with disabilities -- Juvenile fiction; Gardens -- Juvenile fiction; Yorkshire (England) -- Juvenile fiction,PZ,Children's Literature
114,StillImage,1994-03-01,The Tenniel Illustrations for Carroll's Alice in Wonderland,en,"Tenniel, John, 1820-1914",Fantasy fiction; Children's stories,NC; PR; PZ,
115,Text,1994-03-01,United States Census Figures Back to 1630,en,United States. Bureau of the Census,United States -- Population -- Statistics; United States -- Census; United States -- Statistics,HA,
116,MovingImage,1994-03-01,Motion Pictures of the Apollo 11 Lunar Landing,en,United States,Project Apollo (U.S.); Apollo 11 (Spacecraft); Space flight to the moon,TL,
117,Text,1994-03-01,Symphony No. 5 in C minor Opus 67,en,"Beethoven, Ludwig van, 1770-1827",Music,M,
